Document,CHRF Score,BLEU Score,BERT Score,BLEURT Score
T0026_madhyamagama_analayo.tsv,39.73285714285714,0.14514285714285716,0.4112857142857143,0.583
T0374_nirvana_blum.tsv,37.65014285714285,0.12471428571428571,0.43857142857142856,0.601
T0475_vimalakirti_watson.tsv,38.745999999999995,0.13757142857142857,0.46242857142857147,0.6187142857142857
T1585_chengweishilun_cook_eval.tsv,34.63442857142857,0.102,0.38014285714285717,0.5294285714285715
T1600_mavbh_kotyk.tsv,35.33014285714285,0.10428571428571429,0.35585714285714287,0.5392857142857143
T1970_longshu_getz.tsv,30.992428571428572,0.08171428571428571,0.4042857142857143,0.5602857142857143
T2026_zhenqing_bingenheimer.tsv,35.02914285714286,0.0992857142857143,0.4104285714285715,0.509
all_files.tsv,36.80914285714285,0.12014285714285713,0.39885714285714285,0.5652857142857143
